entry,rootWrd,fonetik,index,pos,label,def,exp,asal,passive,diaLan,domain,sinonim,references,keep,reason,category
amen,amen,amen,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
amende,amende,amen-de,,kata tanya,bahasa basahan,apa benda,Amende yg dia hantar tadi?,,,,,,,False,拟声词,interjection
Amerika Selatan,Amerika Selatan,amerika selatan,2,kata nama,,Keluasan: 17 840 000 km?; penduduk: 416 436 000 (2015).,,,,,,,,False,人名,person_name
Amerika Utara,Amerika Utara,amerika utara,2,kata nama,,Keluasan: 24 709 000 km?; penduduk: 571 949 000 (2015).,,,,,,,,False,人名,person_name
amit2,amit2,amit,,,,,,,,Javanese,,,,False,无有效定义,incomplete
AMN,AMN,,,,singkatan bagi,Ahli Mangku Negara.,,,,,,,,False,元数据条目,meta
AMP,AMP,,,,singkatan bagi,adenosina monofosfat.,,,,,Kimia,,,False,元数据条目,meta
ampama,ampama,ampama,,kata nama,bahasa basahan,ampamar.,,daripada Ing informer {Wilkinson},,,,,,False,拟声词,interjection
pengampuh,ampuh3,penampuh,,,,,,,,,,,,False,无有效定义,incomplete
ampul 1,ampul 1,am-pul,,,,,,,,,,,,False,无有效定义,incomplete
amput,amput,amput,,,,tabu,,,,,,,,False,无有效定义,incomplete
amra,amra,amra,,kata nama,bahasa basahan,orang yg mahir membuat senjata. kertas dilapisi serbuk,,daripada Sanskrit amra {Wilkinson},,,,,,False,拟声词,interjection
amung,amung,e [a-mun,,,,,,"daripada MPP hamuk: Tagalog hamok bergelut, Sobei hamo? merompak'",,Javanese,,,,False,无有效定义,incomplete
ana,ana,ana,,ganti nama,bahasa basahan,"kata ganti nama diri pertama yg bermaksud saya atau aku, biasanya digunakan dalam kalangan orang yg berpendidikan Islam atau Arab.",,daripada Arab ana,,,,,,False,拟声词,interjection
sbg anai-anai bubus,anai-anai,"drp MJP Panay; MPP Tag ASAL: anay: Panay, Bima, Sam ane, AP SayaN: Pai sasayaf",,,,,,,,,,,,False,无有效定义,incomplete
anak batu,anak,,b,,,,,,,,,,,False,无有效定义,incomplete
anak jantan,anak,,a,,bahasa basahan,anak lelaki,Ayah runsing memikirkan hal anak jantannya yg seorang ini.,,,,,,,False,拟声词,interjection
anak manakan,anak,,,,bahasa basahan,anak saudara;,,,,,,,,False,拟声词,interjection
bagai menggantang anak ayam bagai menyukat anak,anak ndnd,,,,,ak.,,,,,,,,False,无有效定义,incomplete
(spt) ayam patuk anaknya (spt) kerbau menanduk anak,anak ndnd,,,,,ak,,,,,,,,False,无有效定义,incomplete
beranak,anak ndnd,berana?|berana?,3,kata kerja tak transitif,bahasa basahan,melahirkan anak,Suri sudah berasa sakit hendak berana / .+Kambing yg akan beranak hendaklah diberi tempat yg berasingan.,Hutangnya beranak dengan banyaknya kerana tidak dilunasi,,,,,,False,拟声词,interjection
belum beranak sudah berbesan (dahulu) be-,anak ndnd,,,,,e-.,,,,,,,,False,无有效定义,incomplete
analisir,analisir,analisir,,,kata arkaik,,,daripada Belanda analyseren daripada Perancis analyser daripada Yunani analuein melonggarkan',,Indonesia,,,,False,无有效定义,incomplete
mengancam,mengancam;,me-nantSam|men.an-tSam,4,adjektif,bahasa basahan,"(berkenaan dengan wajah, bentuk tubuh, suara dan sebagainya) menarik dan menggoda","Walaupun sudah berusia, dia masih mengancam / Susuk tubuhnya ma sih mengancam walaupun sudah beranak lima.",,"diancam, ancam",,,,,False,拟声词,interjection
andar,andar,an-dar,,,,,,,,,,,,False,无有效定义,incomplete
andeka?,andeka?,andeka,,,,,,,,,,,,False,无有效定义,incomplete
Andi Muhammad Dahlan Andi Buyung,Andi Muhammad Dahlan Andi Buyung,,,kata nama,,"nama sebenar Arena Wati, Sasterawan Negara yg kelima.",,,,,,,,False,人名,person_name
anelida,anelida,,,,,l,"l:) (anelida] kata nama binatang invertebrat daripada filum Annelida yg mempunyai badan bersegmen dan berongga selom termasuk semua jenis cacing yg badannya bersegmen, pacat dan lintah.",,,,,,,False,无有效定义,incomplete
angah2,angah2,anah,,,,,,,,Mn,,,,False,无有效定义,incomplete
mengangankan,berangankan,,,,,S,Lanman. menanankan|mena gankan] kata kerja transitif menyimpan kemahuan atau keinginan utk memiliki atau mencapai (sesuatu): Dia mengangankan kehidup an berumah tangga yg aman dan bahagia. / Zarul telah memusnahkan segala impian yg diangankannya selama ini.,,"diangankan, angankan",,,,,False,无有效定义,incomplete
anggabaya,anggabaya,angabaja,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
penganggaran,anggar1,,,,,oS,(penangaran|penan:ga ran] kata nama hal atau perbuatan menganggar atau menganggarkan sesuatu: Cara penganggaran demikian berasal daripada pengalaman penyelidik masa silam. / Penganggaran yg lebih tepat dapat dilakukan dengan kaedah matematik.,,,,,,,False,无有效定义,incomplete
anggar4,anggar4,an gar,,,,,,,,,,,,False,无有效定义,incomplete
anggas,anggas,an:gas,,,,,,,,,,,,False,无有效定义,incomplete
anggerka,anggerka,an-garka,,,kata arkaik,,,,,,,,,False,无有效定义,incomplete
angglap,angglap,an:glap,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
anggung1,anggung1,an:gun,,,,,,,,,,,,False,无有效定义,incomplete
anggung anggung2,anggung,an gun,,,,,,,,Mn,,,,False,无有效定义,incomplete
anggut1,anggut1,angut,,,,,,,,,,,,False,无有效定义,incomplete
angka,angka,an-ka,3,kata nama,bahasa basahan,markah dIm peperiksaan atau ujian;.,,daripada Sanskrit angka,,Indonesia,,,,False,拟声词,interjection
angka Arab,angka,,1,kata nama,,",",,,,,,,,False,无有效定义,incomplete
angka Arab,angka,,2,kata nama,,",",,,,,,,,False,无有效定义,incomplete
angkak,angkak,anka?,,,,,,,,Pulau Pinang,,,,False,无有效定义,incomplete
angkas,angkas,an-kas,,,,,,,,Kelantan,,,,False,无有效定义,incomplete
angkat besi,angkat,,,,bahasa basahan,angkat berat;,,,,,,,,False,拟声词,interjection
angkat bungkus,angkat,,,,bahasa basahan,"keluar atau meninggalkan rumah, kampung dan sebagainya dengan membawa barang milik sendiri kerana dihalau, merajuk membawa diri dan sebagainya","Sekarang Bakyah semakin menjadi-jadi, silap sikit dia mahu angkat bungkus.",,,,,,,False,拟声词,interjection
angkat kepala,angkat,,,,kiasan; bahasa basahan,angkat muka,Tiada sesiapa yg berani angkat kepala atau bersuara di hadapan Pak Abu.,,,,,,,False,拟声词,interjection
angkat pundak,angkat,,,,bahasa basahan,mengangkat bahu;,,,,,,,,False,拟声词,interjection
mengangkat,angkat,menankat||menankat,11,kata kerja transitif,kiasan; bahasa basahan,memuji (diri sendiri atau orang lain) kerana hendak menyukakan hati,Pandailah kau mengangkat dia.,,"diangkat, angkat",,,,,False,拟声词,interjection
terangkat,angkat,terankat|terankat,4,adjektif,bahasa basahan,"(berkenaan dengan makanan, lagu dan lain-lain yg dinikmati) sangat sedap dan memuaskan hati","Mi bandung di kedai itu memang terangkat / Lagu ini menusuk kalbu, memang terangkat didengar..",,,,,,,False,拟声词,interjection
angkel,angkel,ankel,2,kata kerja tak transitif,bahasa basahan,mengikat kontrak baru selepas habis kontrak lama.,,daripada Belanda handgeld wang cengkeram',,Indonesia,,,,False,拟声词,interjection
angkor,angkor,ankor,,,,,,,,,,,,False,无有效定义,incomplete
angkut bakul,angkut,,,,kiasan; bahasa basahan,angkat bakul;,,,,,,,,False,拟声词,interjection
angkut habis,angkut,,,,bahasa basahan,memindahkan atau memunggah sesuatu hingga habis,"""Kalau boleh aku nak angkut habis semuanya hari ini juga, kata Aisyah.",,,,,,,False,拟声词,interjection
angkut-angkut anglap,pokok,anlap,,,,,,,,Javanese,,,,False,无有效定义,incomplete
angon,angon,anon,,,,,,,,Javanese,,,,False,无有效定义,incomplete
angpau,angpau,anpaw,2,kata nama,bahasa basahan,"sampul kecil utk mengisi wang yg diberikan sebagai hadiah, sumbangan dan sebagainya;",,daripada Cina{Kamus Dewan},,,,kt,,False,拟声词,interjection
pengangunan,angun1,,,,,gL,penanunan|pananu nan] kata nama tempat tidur pengantin;.,,,,,,,False,无有效定义,incomplete
angun?,angun?,anun,,,,,,,,,,,,False,无有效定义,incomplete
angut,angut,anut,,,,,,,,,,,,False,无有效定义,incomplete
ani,ani,ani,,,,,,"daripada MJP hanay: Sunda pihane?, Austronesia Pruba qani / hanay / han?ay: Paiwan galian",,,,,,False,无有效定义,incomplete
anja,anja,an-d3a,,,,,,daripada Mn{Kamus Dewan},,,,,,False,无有效定义,incomplete
anjing ladang,anjing,,b,,,,,,,,,,,False,无有效定义,incomplete
"anjing menyalak, bukit takkan runtuh beberapa pun",anjing,,,,,un,,,,,,,,False,无有效定义,incomplete
ansor,ansor,ansor,,,,,,,,Sarawak,,,,False,无有效定义,incomplete
bagai antan pencungkil duri canggung spt antan dicungkil-,antan,,,,,l-d,,,,,,,,False,无有效定义,incomplete
antara antar-,antara,"d awalan melibatkan dua atau lebih tem-. pat, institusi dsb, mis antarkota dan antarnegara. ASAL: [drp Skt antar {dC}",,,,,,,,,,,,False,无有效定义,incomplete
antari,antari,antari,,,,,,,,,,,,False,无有效定义,incomplete
antau,antau,antaw,,,,,,,,Pl,,,,False,无有效定义,incomplete
anteken,anteken,an-teken,,kata nama,bahasa basahan,surat berdaftar.,,daripada Belanda aangetekend terdaftar (surat)',,Indonesia,,,,False,拟声词,interjection
anten,anten,anten,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
antep2,antep2,antep,,,,,,,,Javanese,,,,False,无有效定义,incomplete
anting,anting,an-tin,,kata nama,,,,,,Indonesia,,,,False,无有效定义,incomplete
antipasat,antipasat,antipasat,,,,,,,,,,,,False,无有效定义,incomplete
antul,antul,antul,,,,.,,,,,,,,False,无有效定义,incomplete
antus,antus,antus,,,bahasa klasik,,,,,,,,,False,无有效定义,incomplete
anu,anu,anu,4,kata kerja tak transitif,bahasa basahan,"digunakan utk menyatakan sesuatu perbuatan yg tidak disebut, sama ada disengajakan, kerana terlupa, tidak diketahui dan lain-lain","""Kami belum anu Pak Kassim,"" kata Ali malu-malu sambil tangannya menyuap-nyuap kosong ke mulut.",,,,,,,False,拟声词,interjection
beranu,anu,bsranu|beranu,,kata kerja tak transitif,bahasa basahan,menyebut atau menggunakan kata anu,"Beranu sana, ber-",,,,,,,False,拟声词,interjection
beranu-anu,anugerah,be-ranu ranu|baranu anu,,kata kerja tak transitif,bahasa basahan,mcnyebut alau menggunakan kala anu berulang kali,"""Cukuplah kamu beranu-anu tu, cuba ceritakan apa sebenarnya,"" kata ibu kepada abang.",,,,,,,False,拟声词,interjection
menganu,anugerah,me-nanu|men-anu,,kata kerja transitif,bahasa basahan,melakukan atau membuat sesuatu yg tidak baik thp (sso),Siapa yg menganu engkau sampai engkau menangis begini?,,"dianu, anu",,,,,False,拟声词,interjection
berpenganut,menganut:,berpenanut,,kata kerja tak transitif,,mem-,,,,,,,,False,无有效定义,incomplete
anyam,anyam,"ndonesia ialah negara berpenganut agama Islam terbanyak. ASAL: [drp Jw anut turut' (< anftut) drp MJP turut drp MPBP turut 'ikut, menyusul' (lihat patut, turut)",,,,,,,,,,,,False,无有效定义,incomplete
anyur,menganyang,anur,,,,)9,,,,,,,,False,无有效定义,incomplete
buah anyur,menganyang,anur,,,,)9,,,,,,,,False,无有效定义,incomplete
apa,apa,apa,6,kata hubung,,atau,Ya apa tidaknya cakap dia itu. kata seru,"""Apa hal dia datang ke sini malam-malam begini?"" tanya ibu; daripada MP *apa: Seraway apo; MJP qapag: : Mdr apa(h); MPP apa: Watubela afa",,,,,,False,无有效定义,incomplete
apa barang,apa,,,,bahasa basahan,"kata-kata utk memperlekeh sesuatu benda, cara, perbuatan dan sebagainya","Apa barang pakai barang tiruan, kata Zaiton kepada Siew Linguistik.",,,,,,,False,拟声词,interjection
apa bikin,apa,,a,,bahasa basahan,buat apa,"""Cakap-cakap saja apa bikin, kata Molly pula.",,,,,,,False,拟声词,interjection
apa bikin,apa,,b,,bahasa basahan,bagaimana halnya,,,,,,,,False,拟声词,interjection
apa cerita,apa,,,,bahasa basahan,apa kisah atau cerita selanjutnya atau sebenarnya,"Sudah lama kamu tidak balik kampung,",,,,,,,False,拟声词,interjection
apa macam,apa,,a,,bahasa basahan,apa khabar;,,,,,,,,False,拟声词,interjection
apa macam,apa,,b,,bahasa basahan,amacam;,,,,,,,,False,拟声词,interjection
apa pasal,apa,,,,bahasa basahan,apa hal.,,,,,,,,False,拟声词,interjection
"/tak, tidak/ mengapa",apa,,,,bahasa basahan,digunakan utk mengatakan bahawa sesuatu boleh dimaafkan atau tidak penting,"Tidak mengapa, saya boleh pergi sendiri / Tak pakai kasut hitam pun tak mengapa.",,,,,,,False,拟声词,interjection
apakan,apa,apakan,,,,,,,,,,,,False,无有效定义,incomplete
apendiks,apendiks,apendiks]. n,2,kata nama,bahasa basahan,sakit pada kantung kecil ini yg bengkak dan mungkin perlu dibuang melalui pembedahan.,,,,,,,,False,拟声词,interjection
api,api,api,4,kata nama,bahasa basahan,elektrik,"Kemudahan spt air, api dan telefon perlu disediakan. / istilah lama api;",,,,,,,False,拟声词,interjection
api,api,api,5,kata nama,bahasa basahan,"mancis atau pemetik api yg digunakan utk menyalakan rokok, cerut dan sebagainya",Dia menghidup. kan api dan menyuakannya pada rokok bosnya.,,,,,,,False,拟声词,interjection
di,api ung-,,,,,ketahui;,,,,,,di,,False,词条过短且不完整,short_entry
berapi,api ung-,berapi|berapi,3,kata kerja tak transitif,bahasa basahan,mempunyai Iampu atau bekalan elektrik,"Malam itu rumahnya bergelap, tidak berapi.",,,,,,,False,拟声词,interjection
Apr,Apr,,,,singkatan bagi,April.,,,,,,,,False,元数据条目,meta
aprit,aprit,aprit,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
Ar,Ar,,,,simbol bagi,argon.,,,,,Kimia,,,False,元数据条目,meta
aram2,aral,aram,,,,di-,,,,,,,,False,无有效定义,incomplete
"bintang !p langit dapat dibilang, tetapi arang di mukanya tak sedar kuman di seberang lautan tampak, gajah",arang1,,,,,ah,,,,,,,,False,无有效定义,incomplete
araz',araz',araz,,,,k/,,,,,,,,False,无有效定义,incomplete
arek,arek,are?,1,kata nama,bahasa basahan,"orang yg masih muda, lazimnya lelaki;",,,,Javanese,,,,False,拟声词,interjection
arek,arek,are?,2,kata nama,bahasa basahan,panggilan akrab kepada orang yg sebaya atau yg lebih muda daripada pemanggil.,,,,Javanese,,,,False,拟声词,interjection
Armenia,Armenia,armenija,2,kata nama,,930 000 (2017);,Armenia; ibu negara: Yerevan; mata. wang: dram. 2 bahasa dalam keluarga bahasa Indo-Eropah yg menjadi bahasa rasmi negara ini;,,,,,bahasa rasmi,,False,人名,person_name
aru-aru,aru-aru,aru aru,,,,,,,,,,,,False,无有效定义,incomplete
arus bolak-balik,arus perdana,,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
arus searah,arus perdana,,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
arwah,arwah,arwah,1,kata nama,,"rujukan kepada orang Islam yg telah meninggal dunia, biasanya disebut sebelum namanya",Kebenaran kata-kata arwah baru kini difahami oleh Pak Kasan. / arwah Tuan Guru Saifullah;,daripada Arab{Kamus Dewan},,,,,,False,元数据条目,meta
arwah,arwah,arwah,5,kata kerja tak transitif,bahasa basahan,meninggal dunia,Kedua-dua ibu bapanya telah arwah. / Dia rupa-rupanya tidak tahu Abd. Aziz H.M. sudah lama arwah.,daripada Arab{Kamus Dewan},,,,,,False,拟声词,interjection
As,As,,,,simbol bagi,arsenik.,,,,,Kimia,,,False,元数据条目,meta
AS,AS,,,,singkatan bagi,Amerika Syarikat..,,,,,,,,False,元数据条目,meta
asa?,asa?,[asa,,adjektif,,esa.,,,,,,,,False,无有效定义,incomplete
asah1,asah1,asah,2,kata kerja transitif,,,,,,,,,,False,无有效定义,incomplete
asam,asam,asam,3,kata nama,bahasa basahan,asam jawa;,,daripada Arab asl akar; pangkal; sumber; penyebab',,,,,,False,拟声词,interjection
asam,asam,asam,5,adjektif,bahasa basahan,"(berkenaan dengan rasa buah, masakan, minuman dan sebagainya) berasa masam spt rasa cuka, mangga muda dan sebagainya",Asam benar buah ini. / air asam;,daripada Arab asl akar; pangkal; sumber; penyebab',,,,,,False,拟声词,interjection
asam,asam,asam,6,adjektif,bahasa basahan,"(berkenaan dengan bau badan, makanan dan lain-lain) berbau masam spt bau pakaian yg tidak kering atau terperap dan susu yg diperam",Ada petua utk menghilangkan bau badan dan ketiak asam. kata kerja transitif,daripada Arab asl akar; pangkal; sumber; penyebab',,,,,,False,拟声词,interjection
asam ko,asam,,,,,,,,,Utara,,,,False,无有效定义,incomplete
asasinat,asasinat,asasinat,,,,,,,,,Undang-undang,,,False,无有效定义,incomplete
ASB,ASB,,,,singkatan bagi,"Amanah Saham Bumiputera. ASB ialah skim amanah saham yg diterbitkan oleh Permodalan Nasional Berhad, dilancarkan pada 2 Januari 1990 dan ditawarkan kepada bumiputera dengan permulaan pelaburan minimum sebanyak 10 unit.",,,,,,,,False,元数据条目,meta
ASD,ASD,,,,singkatan bagi,"Amanah Saham Didik. ASD ialah skim amanah saham yg diterbitkan oleh Permodalan Nasional Berhad, dilancarkan pada 20 April 2001 dan ditawarkan kepada bumiputera yg berusia enam bulan ke atas, dengan permulaan pelaburan minimum sebanyak 100 unit.",,,,,,,,False,元数据条目,meta
asep,asep,d bb [asep keterangan yg menyatakan hendak membayar. ASAL: Idrp Bld acceptyg menyatakan hendak membayar' drp Prc accepter menerima',,,,,,,,,,,,False,无有效定义,incomplete
asese,asese,ase.se,,kata kerja tak transitif,bahasa basahan,bersetuju atau bermuafakat ttg sesuatu hal atau perkara.,,daripada Belanda acc. (kependekan accoord) setuju,,Indonesia,,,,False,拟声词,interjection
ASG,ASG,,,,singkatan bagi,"Amanah Saham Gemilang. ASG ialah skim amanah saham yg terdiri daripada skim kesihatan, persaraan dan pendidikan, yg diterbitkan oleh Permodalan Nasional Berhad yg dilancarkan pada 17 Mac 2003 3 dan ditawarkan kepada warganegara Malaysia yg berumur 6 bulan ke atas, dengan permulaan pelaburan minimum 100 unit.",,,,,,,,False,元数据条目,meta
Asia,Asia,asija,2,kata nama,,Keluasan: 31 915 446 km?; penduduk: 4.4 bilion (2015).,,,,,,,,False,人名,person_name
asid hidroklorik,asid,,,,,asid,,,,,,,,False,无有效定义,incomplete
asisten,asisten,asisten,,kata nama,bahasa basahan,penolong atau pembantu orang lain,Asisten saya akan berjumpa dengan encik.,daripada Belanda assistent daripada adsistere menempatkan diri atau berdiri atau berhenti di',,,,,,False,拟声词,interjection
askar jalan kaki,askar,,,,bahasa basahan,askar infantri;,,,,,,,,False,拟声词,interjection
askar lasykar,askar,,,,,k/,,,,,,,,False,无有效定义,incomplete
ASM,ASM,,,,singkatan bagi,"Amanah Saham Malaysia. ASM ialah skim pelaburan jangka panjang yg menjana pulangan yg kompetitif yg diterbitkan oleh Permodalan Nasional Berhad, dilancarkan pada 20. April 2000 dan ditawarkan kepada warganegara Malaysia yg berumur enam bulan ke atas dengan permulaan pelaburan minimum sebanyak 100 unit.",,,,,,,,False,元数据条目,meta
ASN,ASN,,,,singkatan bagi,"Amanah Saham Nasional. ASN ialah skim amanah saham yg diterbitkan oleh Permodalan Nasional Berhad yg dilancarkan pada 20 April 1981, ditawarkan kepada bumiputera dengan permulaan pelaburan minimum 10 unit, dan harga unit pelaburan ditentukan setiap hari mengikut turun naik harga saham di pasaran.",,,,,,,,False,元数据条目,meta
aso,aso,aso,,,,,,"daripada Sanskrit asvasa gembira, menghiburkan hati' {de Casparis}",,Javanese,,,,False,无有效定义,incomplete
aspek,aspek,aspek,,,,,,,,,,,,False,无有效定义,incomplete
aspiran,aspiran,aspiran,,kata nama,bahasa basahan,orang yg bercita-cita tinggi dan berusaha utk mencapai sesuatu.,,daripada Belanda daripada Perancis aspirant daripada Latin ad pada' + spirare bernafas',,Indonesia,,,,False,拟声词,interjection
astronaut,astronaut,as-tronau lih@t,,,,>,,,,,,,,False,无有效定义,incomplete
asung,asung,asun,,,,,,,,Mn,,,,False,无有效定义,incomplete
At,At,,,,simbol bagi,astatin.,,,,,Kimia,,,False,元数据条目,meta
AT,AT,,,,singkatan bagi,Asia Tenggara.,,,,,,,,False,元数据条目,meta
atas,atas,atas,7,kata sendi nama,bahasa basahan,di bahagian permukaan sesuatu;,Siti Salina tersungkur atas tanah yg berlopak-lopak / Buku itu saya letakkan atas meja.,,,,,di atas,,False,拟声词,interjection
